,headword,xis_entry,instances_all
120,Ašipa[1]PN,qpn.r000b5,"saao/sargonletters:P313480.23.2 ({1}a-ši-pa-a),saao/sargonletters:P313547.12.3 ({1}a-ši-pa-a),saao/sargonletters:P313743.3.2 ({1}a-ši-pa-a),saao/sargonletters:P313996.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334190.2.4 ({1}a-ši-pa-a),saao/sargonletters:P334194.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334296.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334347.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334348.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334349.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334350.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334351.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334642.3.2 ({1}a-ši-pa-a),saao/sargonletters:P334778.4.3 ({1}a-ši-pa-a)"
121,Ašpa-bara[1]PN,qpn.r000b6,"saao/sargonletters:P334446.13.1 ({1}aš₂-pa-ba-ra),saao/sargonletters:P314232.33.2 ({1}aš₂-pa-ba-ri),saao/sargonletters:P314301.13.7 ({1}aš₂-pa-ba-ri),saao/sargonletters:P334119.31.2 ({1}aš₂-pa-ba-ri),saao/sargonletters:P334119.8.1 ({1}aš₂-pa-ba-ri),saao/sargonletters:P334673.15.3 ({1}aš₂-pa-ba-ri),saao/sargonletters:P334922.15.2 ({1}iš-pa-ba-ra)"
122,Aššur-alik-pani[1]PN,qpn.r000ba,"saao/sargonletters:P334558.3.2 ({1}aš-šur-a-lik-pa-an),saao/sargonletters:P313883.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334554.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334555.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334556.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334557.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334559.3.2 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334664.4.1 ({1}aš-šur-a-lik-pa-ni),saao/sargonletters:P334863.3.2 ({1}aš-šur-a-lik-pa-ni)"
123,Aššur-ašared[1]PN,qpn.r000bd,saao/sargonletters:P313511.29.1 ({1}aš-šur-MAŠ)
124,Aššur-balti-niše[1]PN,qpn.r000be,"saao/sargonletters:P313626.29.1 ({1}aš-šur-TEŠ₂-UN-MEŠ),saao/sargonletters:P334151.3.2 ({1}aš-šur-TEŠ₂-UN-MEŠ),saao/sargonletters:P334195.25.1 ({1}aš-šur-TEŠ₂-UN-MEŠ-ma)"
125,Aššur-bani[1]PN,qpn.r000c1,"saao/sargonletters:P313975.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P314003.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334170.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334171.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334172.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334173.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334174.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334175.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334176.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334288.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P334397.3.2 ({1}aš-šur-ba-ni),saao/sargonletters:P336168.3.2 ({1}aš-šur-ba-ni)"
126,Aššur-bel-šarrani[1]PN,qpn.r000c2,saao/sargonletters:P334859.3.2 ({1}aš-šur-EN-MAN-MEŠ-ni)
127,Aššur-belu-daʾʾin[1]PN,qpn.r000c3,"saao/sargonletters:P334180.3.2 ({1}aš-šur-EN-KALAG-in),saao/sargonletters:P334181.3.2 ({1}aš-šur-EN-KALAG-in),saao/sargonletters:P334182.3.2 ({1}aš-šur-EN-KALAG-in)"
128,Aššur-belu-taqqin[1]PN,qpn.r000c4,"saao/sargonletters:P334441.15.2 ({1}aš-šur-EN-LAL),saao/sargonletters:P334830.49.2 ({1}aš-šur-EN-LAL),saao/sargonletters:P313421.6.3 ({1}aš-šur-EN-LAL-in),saao/sargonletters:P313659.10.5 ({1}aš-šur-EN-LAL-in),saao/sargonletters:P313659.9.5 ({1}aš-šur-EN-LAL-in),saao/sargonletters:P334837.4.4 ({1}aš-šur-EN-LAL-in),saao/sargonletters:P334097.15.2 ({1}aš-šur-U-LAL),saao/sargonletters:P334302.20.2 ({1}aš-šur-U-LAL),saao/sargonletters:P334302.30.3 ({1}aš-šur-U-LAL),saao/sargonletters:P334344.40.4 ({1}aš-šur-U-LAL),saao/sargonletters:P334598.12.1 ({1}aš-šur-U-LAL),saao/sargonletters:P334704.3.2 ({1}aš-šur-U-LAL),saao/sargonletters:P313420.29.3 ({1}aš-šur-U-LAL-in),saao/sargonletters:P313479.3.2 ({1}aš-šur-U-LAL-in),saao/sargonletters:P334155.3.2 ({1}aš-šur-U-LAL-in),saao/sargonletters:P334609.3.2 ({1}aš-šur-U-LAL-in)"
129,Aššur-belu-udaʾʾan[1]PN,qpn.r000c9,"saao/sargonletters:P313478.3.2 ({1}aš-šur-EN-KALAG-an),saao/sargonletters:P334071.12.3 ({1}aš-šur-EN-KALAG-an),saao/sargonletters:P334179.3.2 ({1}aš-šur-EN-KALAG-an)"
130,Aššur-belu-uṣur[1]PN,qpn.r000ca,"saao/sargonletters:P313470.3.2 ({1}aš-šur-EN-PAB),saao/sargonletters:P313498.3.2 ({1}aš-šur-EN-PAB),saao/sargonletters:P334177.3.2 ({1}aš-šur-EN-PAB),saao/sargonletters:P334178.3.2 ({1}aš-šur-EN-PAB),saao/sargonletters:P335930.3.2 ({1}aš-šur-EN-PAB)"
131,Aššur-bessunu[1]PN,qpn.r000cb,"saao/sargonletters:P336597.5.3 ({1}aš-šur-be₂-sun₂),saao/sargonletters:P334187.43.2 ({1}aš-šur-bi-su-nu)"
132,Aššur-dalal[1]PN,qpn.r000ce,saao/sargonletters:P334715.29.4 ({1}aš-šur-da-lal)
133,Aššur-daʾʾinanni[1]PN,qpn.r000cf,saao/sargonletters:X900015.36.2 ({1}aš-šur-KALAG-an-ni)
134,Aššur-dur-paniya[1]PN,qpn.r000d0,"saao/sargonletters:P313448.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P313711.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P313761.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P334186.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P334187.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P334528.3.2 ({1}aš-šur-BAD₃-IGI-ia),saao/sargonletters:P334529.3.2 ({1}aš-šur-BAD₃-pa-ni-ia)"
135,Aššur-ereš[1]PN,qpn.r000d3,saao/sargonletters:X900011.40.3 ({1}aš-šur-KAM-eš)
136,Aššur-iddin[1]PN,qpn.r000d4,saao/sargonletters:P314290.10.1 ({1}aš-šur-AŠ)
137,Aššur-ilaʾi[1]PN,qpn.r000d5,saao/sargonletters:P334209.6.3 ({1}aš-šur-DINGIR-a.a)
138,Aššur-leʾi[1]PN,qpn.r000d6,"saao/sargonletters:P313686.6.5 ({1}aš-šur-ZU),saao/sargonletters:P334705.12.2 ({1}aš-šur-ZU),saao/sargonletters:P334705.22.3 ({1}aš-šur-ZU),saao/sargonletters:P334705.5.2 ({1}aš-šur-ZU),saao/sargonletters:P334705.9.3 ({1}aš-šur-ZU)"
139,Aššur-nadin-ahhe[1]PN,qpn.r000d7,saao/sargonletters:P334435.6.3 ({1}aš-šur-SUM-PAB-MEŠ)
140,Aššur-naʾdi[1]PN,qpn.r000d8,saao/sargonletters:P334396.19.2 ({1}aš-šur-I)
141,Aššur-neše[Aššur-of-Lions]GN,qpn.r000d9,saao/sargonletters:P334773.20.3 (aš-šur-UR.MAH-MEŠ)
142,Aššur-patinu[1]PN,qpn.r000da,"saao/sargonletters:P313473.3.2 ({1}aš-šur-pa-ti-nu),saao/sargonletters:P313985.3.2 ({1}aš-šur-pa-ti-nu),saao/sargonletters:P314053.6.2 ({1}aš-šur-pa-ti-nu),saao/sargonletters:P334625.3.2 ({1}aš-šur-pa-ti-nu)"
143,Aššur-remanni[1]PN,qpn.r000db,"saao/sargonletters:P313478.14.2 ({1}aš-šur-rem₂-a-ni),saao/sargonletters:P313480.9.4 ({1}aš-šur-rem₂-a-ni),saao/sargonletters:P334805.20.1 ({1}aš-šur-rem₂-a-ni),saao/sargonletters:P313814.65.3 ({1}aš-šur-rem₂-an-ni),saao/sargonletters:P313814.77.11 ({1}aš-šur-rem₂-an-ni),saao/sargonletters:P313814.84.13 ({1}aš-šur-rem₂-an-ni),saao/sargonletters:P334656.3.2 ({1}{d}aš-šur-rem₂-an-ni)"
144,Aššur-reši-išši[1]PN,qpn.r000df,"saao/sargonletters:P313735.4.2 ({1}aš-šur-SAG-i-ši),saao/sargonletters:P314232.12.1 ({1}aš-šur-SAG-i-ši)"
145,Aššur-reṣiwa[1]PN,qpn.r000e0,"saao/sargonletters:P334258.3.2 ({1}aš-šur-re-ṣi-u-a),saao/sargonletters:P334259.4.2 ({1}aš-šur-re-ṣi-u-a)"
146,Aššur-reṣuwa[1]PN,qpn.r000e1,"saao/sargonletters:P313450.7.1 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P313457.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P313497.6.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P313513.10.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P313553.19.1 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P313803.9.6 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334050.5.3 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334071.13.3 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334090.2.5 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334091.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334092.2.5 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334093.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334094.2.5 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334142.22.1 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334142.36.4 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334143.24.7 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334143.49.4 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334256.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334257.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334308.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334335.5.3 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334337.11.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334338.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334339.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334721.4.4 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P334786.3.2 ({1}aš-šur-re-ṣu-u-a),saao/sargonletters:P337150.3.2 ({1}aš-šur-re-ṣu-u-a)"
147,Aššur-zeru-ibni[1]PN,qpn.r000e2,saao/sargonletters:P337151.2.2 ({1}aš-šur-NUMUN-DU₃)
148,Aššur-šarrani[1]PN,qpn.r000e3,saao/sargonletters:P313609.6.2 ({1}aš-šur-MAN-a-ni)
149,Aššur-šarru-ibni[1]PN,qpn.r000e4,saao/sargonletters:P313523.3.2 ({1}aš-šur-MAN-DU₃)
150,Aššur-šarru-uṣur[1]PN,qpn.r000e5,"saao/sargonletters:P224485.2.4 ({1}aš-šur-MAN-PAB),saao/sargonletters:P314243.13.4 ({1}aš-šur-MAN-PAB),saao/sargonletters:P334887.8.3 ({1}aš-šur-MAN-PAB),saao/sargonletters:P393855.22.3 ({1}aš-šur-MAN-PAB)"
151,Aššur-šumu-kaʾʾin[1]PN,qpn.r000e6,"saao/sargonletters:P313439.3.2 ({1}aš-šur-MU-GIN),saao/sargonletters:P313879.7.1 ({1}aš-šur-MU-GIN-in),saao/sargonletters:P334288.5.1 ({1}aš-šur-MU-ki-in),saao/sargonletters:P334314.10.2 ({1}aš-šur-MU-ki-in)"
152,Aššur-ṣabtanni[1]PN,qpn.r000ea,saao/sargonletters:P334505.12.4 ({1}aš-šur-DIB-an-ni)
153,Aššur[1]DN,akk.r00001,"saao/sargonletters:P313807.13.4 (E₂-aš-šur),saao/sargonletters:P334298.24.2 (E₂-aš-šur),saao/sargonletters:P334298.31.5 (E₂-aš-šur),saao/sargonletters:P334396.7.5 (E₂-aš-šur),saao/sargonletters:P313492.45.1 (KUR-aš-šur),saao/sargonletters:P313510.39.7 (KUR-aš-šur),saao/sargonletters:P313516.25.5 (KUR-aš-šur),saao/sargonletters:P313548.5.1 (KUR-aš-šur),saao/sargonletters:P313601.15.2 (KUR-aš-šur),saao/sargonletters:P313877.4.8 (KUR-aš-šur),saao/sargonletters:P314068.10.2 (KUR-aš-šur),saao/sargonletters:P314068.15.2 (KUR-aš-šur),saao/sargonletters:P314118.7.2 (KUR-aš-šur),saao/sargonletters:P314287.10.7 (KUR-aš-šur),saao/sargonletters:P334158.12.4 (KUR-aš-šur),saao/sargonletters:P334158.9.4 (KUR-aš-šur),saao/sargonletters:P334369.30.2 (KUR-aš-šur),saao/sargonletters:P334692.13.6 (KUR-aš-šur),saao/sargonletters:P334857.19.8 (KUR-aš-šur),saao/sargonletters:X900005.9.3 (KUR-aš-šur),saao/sargonletters:P313451.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P313548.14.2 (KUR-aš-šur{KI}),saao/sargonletters:P313548.8.2 (KUR-aš-šur{KI}),saao/sargonletters:P313575.20.5 (KUR-aš-šur{KI}),saao/sargonletters:P313587.14.5 (KUR-aš-šur{KI}),saao/sargonletters:P313722.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P313796.24.2 (KUR-aš-šur{KI}),saao/sargonletters:P313802.5.2 (KUR-aš-šur{KI}),saao/sargonletters:P313814.58.4 (KUR-aš-šur{KI}),saao/sargonletters:P313837.19.6 (KUR-aš-šur{KI}),saao/sargonletters:P314287.6.7 (KUR-aš-šur{KI}),saao/sargonletters:P334041.7.3 (KUR-aš-šur{KI}),saao/sargonletters:P334048.4.6 (KUR-aš-šur{KI}),saao/sargonletters:P334091.7.2 (KUR-aš-šur{KI}),saao/sargonletters:P334091.8.3 (KUR-aš-šur{KI}),saao/sargonletters:P334141.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P334142.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P334143.13.6 (KUR-aš-šur{KI}),saao/sargonletters:P334143.18.3 (KUR-aš-šur{KI}),saao/sargonletters:P334144.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P334166.14.2 (KUR-aš-šur{KI}),saao/sargonletters:P334272.7.3 (KUR-aš-šur{KI}),saao/sargonletters:P334390.5.3 (KUR-aš-šur{KI}),saao/sargonletters:P334519.4.3 (KUR-aš-šur{KI}),saao/sargonletters:P334683.3.7 (KUR-aš-šur{KI}),saao/sargonletters:P334683.9.6 (KUR-aš-šur{KI}),saao/sargonletters:P337150.14.2 (KUR-aš-šur{KI}),saao/sargonletters:X900009.4.3 (KUR-aš-šur{KI})"
154,Aššur[1]DN,qpn.r000eb,"saao/sargonletters:P224485.29.3 (aš-šur),saao/sargonletters:P224485.53.3 (aš-šur),saao/sargonletters:P224485.8.4 (aš-šur),saao/sargonletters:P313458.15.8 (aš-šur),saao/sargonletters:P313458.9.5 (aš-šur),saao/sargonletters:P313587.7.6 (aš-šur),saao/sargonletters:P313915.8.6 (aš-šur),saao/sargonletters:P314153.16.1 (aš-šur),saao/sargonletters:P314232.8.1 (aš-šur),saao/sargonletters:P334036.5.1 (aš-šur),saao/sargonletters:P334037.5.1 (aš-šur),saao/sargonletters:P334038.5.1 (aš-šur),saao/sargonletters:P334039.5.1 (aš-šur),saao/sargonletters:P334040.5.1 (aš-šur),saao/sargonletters:P334041.9.1 (aš-šur),saao/sargonletters:P334042.5.1 (aš-šur),saao/sargonletters:P334043.5.1 (aš-šur),saao/sargonletters:P334044.5.1 (aš-šur),saao/sargonletters:P334045.5.1 (aš-šur),saao/sargonletters:P334046.5.1 (aš-šur),saao/sargonletters:P334047.5.1 (aš-šur),saao/sargonletters:P334158.4.1 (aš-šur),saao/sargonletters:P334213.5.1 (aš-šur),saao/sargonletters:P334271.5.1 (aš-šur),saao/sargonletters:P334272.9.1 (aš-šur),saao/sargonletters:P334273.5.1 (aš-šur),saao/sargonletters:P334328.5.1 (aš-šur),saao/sargonletters:P334329.5.1 (aš-šur),saao/sargonletters:P334330.5.1 (aš-šur),saao/sargonletters:P334331.5.1 (aš-šur),saao/sargonletters:P334372.5.1 (aš-šur),saao/sargonletters:P334384.5.1 (aš-šur),saao/sargonletters:P334396.5.1 (aš-šur),saao/sargonletters:P334500.11.6 (aš-šur),saao/sargonletters:P334676.5.1 (aš-šur),saao/sargonletters:P334698.5.1 (aš-šur),saao/sargonletters:P334728.6.1 (aš-šur),saao/sargonletters:P334904.5.1 (aš-šur),saao/sargonletters:P336167.5.1 (aš-šur),saao/sargonletters:P313439.5.1 ({d}aš-šur),saao/sargonletters:P313923.6.1 ({d}aš-šur),saao/sargonletters:P334543.32.1 ({d}aš-šur)"
155,Aššuraya[Assyrian]EN,qpn.r000ee,"saao/sargonletters:P314254.5.3 (aš-šur-a.a),saao/sargonletters:P334146.9.3 (aš-šur-a.a),saao/sargonletters:P313447.10.1 (aš-šur-a.a-te),saao/sargonletters:P334415.12.1 ({KUR}aš-šur-a.a),saao/sargonletters:P334415.5.2 ({KUR}aš-šur-a.a),saao/sargonletters:X900007.33.4 ({KUR}aš-šur-a.a),saao/sargonletters:X900007.37.1 ({KUR}aš-šur-a.a),saao/sargonletters:X900010.22.5 ({KUR}aš-šur-a.a),saao/sargonletters:P314205.5.4 ({KUR}aš-šur{KI}-a.a),saao/sargonletters:P334189.11.4 ({LU₂}aš-šur-a.a)"
156,Bab-bitqi[1]GN,qpn.r000f5,"saao/sargonletters:P334583.9.2 (KA₂-bit-qi),saao/sargonletters:P314280.21.3 ({URU}KA₂-bit-qi),saao/sargonletters:P334038.10.2 ({URU}KA₂-bit-qi),saao/sargonletters:P334038.23.2 ({URU}KA₂-bit-qi),saao/sargonletters:P334038.31.2 ({URU}KA₂-bit-qi),saao/sargonletters:P334846.12.3 ({URU}KA₂-bit-qi)"
157,Babili[Babylon]GN,akk.r00005,"saao/sargonletters:P313518.32.1 (DUMU-KA₂.DINGIR),saao/sargonletters:P313952.4.2 (DUMU-KA₂.DINGIR),saao/sargonletters:P314326.31.5 (DUMU-KA₂.DINGIR.RA),saao/sargonletters:P334421.20.3 (DUMU-KA₂.DINGIR.RA),saao/sargonletters:P334263.35.1 (DUMU-KA₂.DINGIR.RA{KI}),saao/sargonletters:P334357.6.1 (DUMU-KA₂.DINGIR.RA{KI}),saao/sargonletters:P334540.12.3 (DUMU-KA₂.DINGIR.RA{KI}),saao/sargonletters:P313895.12.8 (DUMU-KA₂.DINGIR{KI}),saao/sargonletters:P314246.29.9 (DUMU-KA₂.DINGIR{KI}),saao/sargonletters:P334189.15.4 (DUMU-MEŠ-KA₂.DINGIR)"
158,Babili[Babylon]GN,qpn.r000f8,"saao/sargonletters:P313942.6.5 (KA₂.DINGIR),saao/sargonletters:P334113.28.6 (KA₂.DINGIR),saao/sargonletters:P313483.9.2 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P314312.25.5 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P334343.34.2 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P334345.10.2 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P334441.25.2 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P334587.21.5 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P334711.7.5 (KA₂.DINGIR.RA{KI}),saao/sargonletters:P313657.13.5 (KA₂.DINGIR{KI}),saao/sargonletters:P313924.11.3 (KA₂.DINGIR{KI}),saao/sargonletters:P313984.6.4 (KA₂.DINGIR{KI}),saao/sargonletters:P314155.8.2 (KA₂.DINGIR{KI}),saao/sargonletters:P314246.4.12 (KA₂.DINGIR{KI}),saao/sargonletters:P334125.10.5 (KA₂.DINGIR{KI}),saao/sargonletters:P334125.21.2 (KA₂.DINGIR{KI}),saao/sargonletters:P334692.12.2 (KA₂.DINGIR{KI}),saao/sargonletters:P334316.34.2 (KA₂.DINGIR{KI}-ma),saao/sargonletters:P334155.25.4 (TIN.TIR{KI}),saao/sargonletters:P334201.5.4 (TIN.TIR{KI}),saao/sargonletters:P336769.7.5 (TIN.TIR{KI}),saao/sargonletters:P334178.21.7 ({URU}KA₂.DINGIR),saao/sargonletters:P334141.16.3 ({URU}KA₂.DINGIR.RA),saao/sargonletters:P313781.11.4 ({URU}KA₂.DINGIR{KI}),saao/sargonletters:P313781.9.2 ({URU}KA₂.DINGIR{KI}),saao/sargonletters:P334045.10.2 ({URU}KA₂.DINGIR{KI}),saao/sargonletters:P334177.26.3 ({URU}KA₂.DINGIR{KI}),saao/sargonletters:P334177.37.4 ({URU}KA₂.DINGIR{KI})"
159,Babiti[1]GN,qpn.r00102,saao/sargonletters:P334279.46.4 ({KUR}ba-bi-ti)
160,Babu[1]PN,qpn.r00103,"saao/sargonletters:P314265.9.8 ({1}ba-bu-u),saao/sargonletters:P334615.5.2 ({1}ba-bu-u₂)"
161,Babutaya[Babutean]EN,qpn.r00106,saao/sargonletters:P313450.9.1 ({KUR}ba-bu-ta-a.a)
162,Badaya[1]PN,qpn.r00107,"saao/sargonletters:P313476.14.3 ({1}ba-da-a),saao/sargonletters:P313476.28.3 ({1}ba-da-a),saao/sargonletters:P313747.25.1 ({1}ba-da-a),saao/sargonletters:P334648.10.2 ({1}ba-da-a.a)"
163,Baga-parna[1]PN,qpn.r0010a,"saao/sargonletters:P334795.4.1 ({1}ba-ag-par-na),saao/sargonletters:P334917.30.1 ({1}ba-ga-par-na)"
164,Bahianu[1]PN,qpn.r0010d,"saao/sargonletters:P334820.12.2 ({1}ba-hi-a-ni),saao/sargonletters:P334820.5.1 ({1}ba-hi-a-nu),saao/sargonletters:P334820.8.2 ({1}ba-hi-a-nu)"
165,Balassu[1]PN,qpn.r00110,"saao/sargonletters:P224485.59.3 ({1}ba-la-su),saao/sargonletters:P313504.44.2 ({1}ba-la-su),saao/sargonletters:P313504.46.1 ({1}ba-la-su),saao/sargonletters:P313504.57.2 ({1}ba-la-su),saao/sargonletters:P313507.25.3 ({1}ba-la-su),saao/sargonletters:P334367.9.1 ({1}ba-la-su)"
166,Balaṭi[1]PN,qpn.r00111,saao/sargonletters:P334116.34.4 ({1}ba-la-ṭi-i)
167,Balṭi-iqbi[1]PN,qpn.r00112,"saao/sargonletters:P313600.10.3 ({1}bal-ṭi-iq-bi),saao/sargonletters:P313600.7.3 ({1}bal-ṭi-iq-bi)"
168,Ban-Ammanaya[Ammonite]EN,qpn.r00113,saao/sargonletters:X900014.40.2 ({KUR}ba-an-am-ma-na-a.a)
169,Banitu[1]DN,qpn.r00114,saao/sargonletters:P313491.40.4 ({d}ba-ni-tu₂)
170,Baqarru[1]GN,qpn.r00115,"saao/sargonletters:P313748.10.6 ({URU}ba-qar),saao/sargonletters:P314249.7.2 ({URU}ba-qar),saao/sargonletters:P313573.7.4 ({URU}ba-qar-ri),saao/sargonletters:P334377.26.3 ({URU}ba-qar-ri)"
171,Bar-Ṣaruri[1]PN,qpn.r00118,saao/sargonletters:P334592.11.2 ({1}bur-ṣa-ru-ru)
172,Barhalza[1]GN,qpn.r00119,"saao/sargonletters:P334687.14.2 ({KUR}bar-hal-za),saao/sargonletters:P334727.6.2 ({KUR}bar-hal-za),saao/sargonletters:P334046.11.2 ({KUR}bar-hal-zi)"
173,Barik-il[1]PN,qpn.r0011c,saao/sargonletters:P334413.6.2 ({1}ba-ri-ki-DINGIR)
174,Barsip[Borsippa]GN,akk.r0000b,saao/sargonletters:P313859.14.4 (DUMU-BAR₂.SIPA{KI})
175,Barsip[Borsippa]GN,qpn.r0011d,"saao/sargonletters:P313859.16.5 (BAR₂.SIPA{KI}),saao/sargonletters:P314175.14.2 (BAR₂.SIPA{KI}),saao/sargonletters:P334201.5.5 (BAR₂.SIPA{KI}),saao/sargonletters:P334671.26.3 (BAR₂.SIPA{KI}),saao/sargonletters:P334904.10.2 ({URU}bur-si-bi)"
176,Barsipitu[1]PN,qpn.r00120,saao/sargonletters:P314129.4.5 ({MI₂}bur-si-pi-tu₂)
177,Barzaništa[1]GN,qpn.r00121,saao/sargonletters:P334093.26.2 ({URU}bar-za-ni-iš-ta)
178,Batulu[1]PN,qpn.r00122,"saao/sargonletters:P334386.3.1 ({1}ba-tu-lu),saao/sargonletters:P334386.32.1 ({1}ba-tu-lu),saao/sargonletters:P334386.35.2 ({1}ba-tu-lu)"
179,Baziya[1]PN,qpn.r00123,saao/sargonletters:P313609.10.2 ({1}ba-zi-ia)
180,Bel-Harran-belu-uṣur[1]PN,qpn.r00124,saao/sargonletters:P313863.5.6 ({1}EN-KASKAL-EN-PAB)
181,Bel-abu-uṣur[1]PN,qpn.r00125,saao/sargonletters:P314023.3.2 ({1}EN-AD-PAB)
182,Bel-age[Lord-of-the-Crown]DN,qpn.r00126,saao/sargonletters:P334331.12.5 ({d}EN-AGA)
183,Bel-ahhe-riba[1]PN,qpn.r00127,saao/sargonletters:P334501.5.3 ({1}EN-PAB-MEŠ-SU)
184,Bel-ahhe[1]PN,qpn.r00128,saao/sargonletters:P334705.29.3 ({1}EN-PAB-MEŠ)
185,Bel-ahu-iddina[1]PN,qpn.r00129,saao/sargonletters:P313596.6.6 ({1}EN-PAB-AŠ)
186,Bel-deni-amur[1]PN,qpn.r0012a,saao/sargonletters:P334209.11.1 ({1}EN-de-ni-a-mur)
187,Bel-duri[1]PN,qpn.r0012b,"saao/sargonletters:P313417.21.2 ({1}EN-BAD₃),saao/sargonletters:P313417.26.4 ({1}EN-BAD₃),saao/sargonletters:P313417.36.6 ({1}EN-BAD₃),saao/sargonletters:P313417.46.5 ({1}EN-BAD₃),saao/sargonletters:P313876.7.3 ({1}EN-BAD₃),saao/sargonletters:P334104.33.2 ({1}EN-BAD₃),saao/sargonletters:P334104.7.1 ({1}EN-BAD₃),saao/sargonletters:P334422.25.2 ({1}EN-BAD₃),saao/sargonletters:X900008.3.2 ({1}EN-BAD₃),saao/sargonletters:X900011.3.2 ({1}EN-BAD₃)"
188,Bel-emuranni[1]PN,qpn.r0012c,"saao/sargonletters:X900011.5.2 ({1}EN-IGI-an-ni),saao/sargonletters:P334197.3.2 ({1}EN-IGI.LAL-ni),saao/sargonletters:P334731.9.5 ({1}EN-IGI.LAL-ni),saao/sargonletters:P334731.22.2 ({1}{d}EN-IGI.LAL-an-ni),saao/sargonletters:P334731.34.2 ({1}{d}EN-IGI.LAL-an-ni)"
189,Bel-eriba[1]PN,qpn.r00130,saao/sargonletters:P314018.3.2 ({1}{d}EN-SU)
190,Bel-eṭir[1]PN,qpn.r00131,saao/sargonletters:P334519.7.6 ({1}EN-KAR-ir)
191,Bel-ibni[1]PN,qpn.r00132,"saao/sargonletters:P314180.6.1 ({1}EN-DU₃),saao/sargonletters:P334711.12.2 ({1}EN-ib-ni)"
